"nature","material","dwire_min","dwire_max","sigmau","young","density","alpha","resistivity_20deg","mass_resist_20deg","poisson","epsilonu","sigma1pct"
pure_aluminium,AL1,0.0,0.00125,200000000,68000000000,2.7,0.000023,0.000000028264,0.00403,0.33,,
pure_aluminium,AL1,0.00125,0.0015,195000000,68000000000,2.7,0.000023,0.000000028264,0.00403,0.33,,
pure_aluminium,AL1,0.0015,0.00175,190000000,68000000000,2.7,0.000023,0.000000028264,0.00403,0.33,,
pure_aluminium,AL1,0.00175,0.002,185000000,68000000000,2.7,0.000023,0.000000028264,0.00403,0.33,,
pure_aluminium,AL1,0.002,0.00225,180000000,68000000000,2.7,0.000023,0.000000028264,0.00403,0.33,,
pure_aluminium,AL1,0.00225,0.0025,175000000,68000000000,2.7,0.000023,0.000000028264,0.00403,0.33,,
pure_aluminium,AL1,0.0025,0.003,170000000,68000000000,2.7,0.000023,0.000000028264,0.00403,0.33,,
pure_aluminium,AL1,0.003,0.0035,165000000,68000000000,2.7,0.000023,0.000000028264,0.00403,0.33,,
pure_aluminium,AL1,0.0035,0.005,160000000,68000000000,2.7,0.000023,0.000000028264,0.00403,0.33,,
alloy_aluminium,AL2,0.0015,0.0035,325000000,68000000000,2.7,0.000023,0.00003284,0.0036,0.33,0.03,
alloy_aluminium,AL2,0.0035,0.005,315000000,68000000000,2.7,0.000023,0.00003284,0.0036,0.33,0.03,
alloy_aluminium,AL3,0.0015,0.005,295000000,68000000000,2.7,0.000023,0.00003253,0.0036,0.33,0.035,
alloy_aluminium,AL4,0.0015,0.0035,325000000,68000000000,2.7,0.000023,0.0000000329,0.0036,0.33,0.03,
alloy_aluminium,AL4,0.0035,0.005,315000000,68000000000,2.7,0.000023,0.0000000329,0.0036,0.33,0.03,
alloy_aluminium,AL5,0.0015,0.005,295000000,68000000000,2.7,0.000023,0.0000000322,0.0036,0.33,0.035,
alloy_aluminium,AL6,0.0015,0.0035,314000000,68000000000,2.7,0.000023,0.0000000315,0.0036,0.33,0.035,
alloy_aluminium,AL6,0.0035,0.005,304000000,68000000000,2.7,0.000023,0.0000000315,0.0036,0.33,0.035,
alloy_aluminium,AL7,0.0015,0.0025,300000000,68000000000,2.7,0.000023,0.0000000305,0.0036,0.33,0.03,
alloy_aluminium,AL7,0.0025,0.003,290000000,68000000000,2.7,0.000023,0.0000000305,0.0036,0.33,0.03,
alloy_aluminium,AL7,0.003,0.0035,275000000,68000000000,2.7,0.000023,0.0000000305,0.0036,0.33,0.03,
alloy_aluminium,AL7,0.0035,0.004,265000000,68000000000,2.7,0.000023,0.0000000305,0.0036,0.33,0.03,
alloy_aluminium,AL7,0.004,0.005,255000000,68000000000,2.7,0.000023,0.0000000305,0.0036,0.33,0.03,
steel,ST1A,0.00124,0.0015,1400000000,207000000000,7.78,0.0000115,0.000000192,,0.3,0.03,1170000000
steel,ST1A,0.0015,0.00175,1400000000,207000000000,7.78,0.0000115,0.000000192,,0.3,0.03,1170000000
steel,ST1A,0.00175,0.00225,1400000000,207000000000,7.78,0.0000115,0.000000192,,0.3,0.03,1170000000
steel,ST1A,0.00225,0.00275,1350000000,207000000000,7.78,0.0000115,0.000000192,,0.3,0.03,1140000000
steel,ST1A,0.00275,0.003,1350000000,207000000000,7.78,0.0000115,0.000000192,,0.3,0.035,1140000000
steel,ST1A,0.003,0.0035,1300000000,207000000000,7.78,0.0000115,0.000000192,,0.3,0.035,1100000000
steel,ST1A,0.0035,0.00425,1300000000,207000000000,7.78,0.0000115,0.000000192,,0.3,0.04,1100000000
steel,ST1A,0.00425,0.00475,1300000000,207000000000,7.78,0.0000115,0.000000192,,0.3,0.04,1100000000
steel,ST1A,0.00475,0.0055,1300000000,207000000000,7.78,0.0000115,0.000000192,,0.3,0.04,1100000000
steel,ST2B,0.00124,0.0015,1300000000,207000000000,7.78,0.0000115,0.000000192,,0.3,0.04,1100000000
steel,ST2B,0.0015,0.00175,1300000000,207000000000,7.78,0.0000115,0.000000192,,0.3,0.04,1100000000
steel,ST2B,0.00175,0.00225,1300000000,207000000000,7.78,0.0000115,0.000000192,,0.3,0.04,1100000000
steel,ST2B,0.00225,0.00275,1250000000,207000000000,7.78,0.0000115,0.000000192,,0.3,0.04,1070000000
steel,ST2B,0.00275,0.003,1250000000,207000000000,7.78,0.0000115,0.000000192,,0.3,0.04,1070000000
steel,ST2B,0.003,0.0035,1200000000,207000000000,7.78,0.0000115,0.000000192,,0.3,0.04,1000000000
steel,ST2B,0.0035,0.00425,1200000000,207000000000,7.78,0.0000115,0.000000192,,0.3,0.04,1000000000
steel,ST2B,0.00425,0.00475,1200000000,207000000000,7.78,0.0000115,0.000000192,,0.3,0.04,1000000000
steel,ST2B,0.00475,0.0055,1200000000,207000000000,7.78,0.0000115,0.000000192,,0.3,0.04,1000000000
steel,ST3D,0.00124,0.0015,1500000000,207000000000,7.78,0.0000115,0.000000192,,0.3,0.04,1210000000
steel,ST3D,0.0015,0.00175,1500000000,207000000000,7.78,0.0000115,0.000000192,,0.3,0.04,1210000000
steel,ST3D,0.00175,0.00225,1500000000,207000000000,7.78,0.0000115,0.000000192,,0.3,0.04,1210000000
steel,ST3D,0.00225,0.00275,1500000000,207000000000,7.78,0.0000115,0.000000192,,0.3,0.04,1210000000
steel,ST3D,0.00275,0.003,1500000000,207000000000,7.78,0.0000115,0.000000192,,0.3,0.04,1210000000
steel,ST3D,0.003,0.0035,1400000000,207000000000,7.78,0.0000115,0.000000192,,0.3,0.04,1100000000
steel,ST3D,0.0035,0.00425,1400000000,207000000000,7.78,0.0000115,0.000000192,,0.3,0.04,1100000000
steel,ST3D,0.00425,0.00475,1400000000,207000000000,7.78,0.0000115,0.000000192,,0.3,0.04,1100000000
steel,ST3D,0.00475,0.0055,1400000000,207000000000,7.78,0.0000115,0.000000192,,0.3,0.04,1100000000
steel,ST4A,0.00124,0.0015,1670000000,207000000000,7.78,0.0000115,0.000000192,,0.3,0.035,1275000000
steel,ST4A,0.0015,0.00175,1670000000,207000000000,7.78,0.0000115,0.000000192,,0.3,0.035,1275000000
steel,ST4A,0.00175,0.00225,1670000000,207000000000,7.78,0.0000115,0.000000192,,0.3,0.035,1275000000
steel,ST4A,0.00225,0.00275,1670000000,207000000000,7.78,0.0000115,0.000000192,,0.3,0.04,1275000000
steel,ST4A,0.00275,0.003,1670000000,207000000000,7.78,0.0000115,0.000000192,,0.3,0.04,1275000000
steel,ST4A,0.003,0.0035,1620000000,207000000000,7.78,0.0000115,0.000000192,,0.3,0.04,1225000000
steel,ST4A,0.0035,0.00425,1620000000,207000000000,7.78,0.0000115,0.000000192,,0.3,0.04,1225000000
steel,ST4A,0.00425,0.00475,1620000000,207000000000,7.78,0.0000115,0.000000192,,0.3,0.04,1225000000
steel,ST4A,0.00475,0.0055,1620000000,207000000000,7.78,0.0000115,0.000000192,,0.3,0.04,1225000000
steel,ST5E,0.00124,0.00175,1620000000,207000000000,7.78,0.0000115,0.000000192,,0.3,0.035,1420000000
steel,ST5E,0.00175,0.0023,1620000000,207000000000,7.78,0.0000115,0.000000192,,0.3,0.035,1420000000
steel,ST5E,0.0023,0.00255,1620000000,207000000000,7.78,0.0000115,0.000000192,,0.3,0.04,1370000000
steel,ST5E,0.00255,0.00275,1670000000,207000000000,7.78,0.0000115,0.000000192,,0.3,0.04,1370000000
steel,ST5E,0.00275,0.0035,1670000000,207000000000,7.78,0.0000115,0.000000192,,0.3,0.04,1370000000
steel,ST5E,0.0035,0.00475,1670000000,207000000000,7.78,0.0000115,0.000000192,,0.3,0.04,1370000000
steel,ST5E,0.00475,0.0055,1670000000,207000000000,7.78,0.0000115,0.000000192,,0.3,0.04,1370000000
steel,ST6C,0.00124,0.0015,1700000000,207000000000,7.78,0.0000115,0.000000192,,0.3,0.02,1450000000
steel,ST6C,0.0015,0.00175,1700000000,207000000000,7.78,0.0000115,0.000000192,,0.3,0.02,1450000000
steel,ST6C,0.00175,0.00225,1700000000,207000000000,7.78,0.0000115,0.000000192,,0.3,0.02,1450000000
steel,ST6C,0.00225,0.00275,1650000000,207000000000,7.78,0.0000115,0.000000192,,0.3,0.02,1410000000
steel,ST6C,0.00275,0.003,1650000000,207000000000,7.78,0.0000115,0.000000192,,0.3,0.025,1410000000
steel,ST6C,0.003,0.0035,1600000000,207000000000,7.78,0.0000115,0.000000192,,0.3,0.025,1380000000
steel,ST6C,0.0035,0.00425,1600000000,207000000000,7.78,0.0000115,0.000000192,,0.3,0.025,1340000000
steel,ST6C,0.00425,0.00475,1600000000,207000000000,7.78,0.0000115,0.000000192,,0.3,0.025,1340000000
steel,ST6C,0.00475,0.0055,1600000000,207000000000,7.78,0.0000115,0.000000192,,0.3,0.025,1340000000
optical_fiber,FIBRE,0.0,0.1,1,1,0.0,0.0,0.0,0.0,0.0,,
optical_fiber,COAXE,0.0,0.1,1,1,0.0,0.0,0.0,0.0,0.0,,
optical_fiber,QUARTE,0.0,0.1,1,1,0.0,0.0,0.0,0.0,0.0,,
